企業名,勤務地,給与,初年度年収
株式会社エヌ事業hoop ,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,月給23万円〜35万円＋決算賞与＋インセンティブ ※試用期間3ヶ月あり（待遇に変更なし） ※上記の給与に…,400万円～600万円
京セラ株式会社 ,［京都綾部工場］ 京都府綾部市味方町１ ※マイカー通勤可 ★独身寮あり 冷蔵庫やエアコン、洗濯機な…,"月給16万9,500〜23万4,660円（残業代別途支給）＋諸手当 ※年齢・経験を考慮の上、当社規定により決定 …",初年度年収のデータなし
株式会社サーバントップ ,東京・名古屋・大阪・横浜・埼玉のいずれか ※各担当エリアへご自宅から直行直帰 ◆東京都千代田区神田…,◆月給：35万円〜＋インセンティブ＋賞与年2回 ※あなたの経験・年齢を考慮のうえ、当社規定により優遇し…,500万円～950万円
アイコムシステック株式会社 ,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上 ※前職給与保証 ※さらに年齢、経験などを考慮します ※賞与前年実績5.2ヵ月分 ※試…,400万円～1000万円
株式会社海事プレス社 ,【リモートワーク導入中】 東京都千代田区岩本町2-1-15 吉安神田ビル3階 ※「神田駅」徒歩7分…,"月給20万6,600円以上＋残業代全額支給＋賞与年3回支給 ※経験・能力により、優遇いたします。 ※試用期間…",360万円～500万円
株式会社キャンサースキャン ,【転勤なし】 東京都品川区西五反田1-3-8 五反田PLACE2F ★リモートワーク・フレックス勤…,月給28万円以上 ＋ 賞与年2回（昨年度実績：2ヶ月分） ※経験、年齢、スキル等を考慮の上、当社規定に基…,400万円～600万円
ザ・サン・ストラテジック・ソリューションズ株式会社 ,☆転勤なし ＜交通アクセス＞ 各線「九段下駅」出口7より徒歩1分 ・東京都千代田区九段北1-12-…,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。,300万円～600万円
ケイレックス・テクノロジー株式会社 ,◆本社（八丁堀駅から徒歩1分以内）または、東京都内・神奈川県のプロジェクト先での勤務となります。…,■月給30万円以上 ＋ 諸手当 ＋ 賞与年2回 ＜経験者は月給40万円〜60万円以上が可能！＞ ※年齢・経験・…,400万円～700万円
株式会社ウエスタンカンパニー ,【テレワーク実施中です】◎転勤なし◎マイカー通勤可 ＜ 本社 ＞ 愛知県岩倉市八剱町郷東5番地 ……,月給25万円〜40万円 ※前職の給与／スキルを考慮し、ご相談の上決定いたします。 《 給与例 》 月収35万…,350万円～550万円
武蔵オイルシール工業株式会社 ,【東京と福岡で同時募集中！東京は7月に営業所を新しいオフィスに移転予定です！】 ◆東京営業所 東京…,月給20万円〜25万円＋地域手当（福岡月3千円・東京月1万円）＋時間外手当＋賞与年2回※昨年実績4カ月分 …,320万円～450万円
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
イマジン・グローバル・ケア株式会社 ,【本社】 東京都港区六本木3-16-12 六本木KSビル8F ★転勤はありません！ ≪アクセス≫…,"月給35万円~40万円 　※経験・能力を考慮し決定 　※固定残業代40時間分(74,405円~93,007円)含む 　※超…",初年度年収のデータなし
東急少額短期保険株式会社 ,【転勤なし／渋谷駅から徒歩3分】 ◆本社 東京都渋谷区道玄坂1-10-8 渋谷道玄坂東急ビル,月給45万円〜＋賞与年2回 ★前職給与・経験・年齢を考慮の上、当社規定により優遇します。,500万円～800万円
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
株式会社エデュプレス ,＊--アクセス◎「岩本町駅」より徒歩3分--＊ 【東京営業所】 東京都千代田区岩本町2-4-10,月給:25万円〜30万円＋諸手当（時間外100％支給など）＋ 賞与年2回（昨年度実績4ヵ月） ※経験・年齢・…,300万円～400万円
株式会社東京商工リサーチ ,★大手町駅より徒歩1分で、通勤も便利♪ 本社／東京都千代田区大手町1-3-1　JAビル ＜アクセス…,月給27万3190円〜34万1440円（一律手当含む） ※年齢を考慮の上、当社規定により優遇します。,450万円～650万円
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
株式会社カナジュウ・コーポレーション ,【★転勤なし／マイカー通勤可】 横浜市瀬谷区橋戸1-22-12,"◆月給19万4,900円〜40万円 ＋ 時間外手当全額支給 ＋ 資格手当 ※上記はあくまでも最低保証される支給…",320万円～450万円
アークシステム株式会社 ,本社またはプロジェクト先（東京23区・横浜市内） ※勤務地は希望を考慮します ※転居を伴う転勤はあ…,月給22万円〜27万6000円（基本給）＋各種手当＋賞与年2回 ※スキル・経験・年齢などを考慮して決定します…,400万円～600万円
株式会社ファンギルド ,★転勤なし！ ★新宿三丁目駅より徒歩3分の駅近オフィス♪ 東京都新宿区新宿2-5-10 成信ビル2階,〈月給〉24万円以上 ※上記金額は最低保証額です。経験・スキルなどを最大限考慮し、優遇いたします。 …,300万円～600万円
エックスサーバー株式会社 ,【大阪本社】 大阪府大阪市北区大深町4-20 グランフロント大阪タワーA 32階 ※転勤の可能性は…,月給22万5000円以上 ※あくまで支給最低金額です。スキル・経験に応じて決定します。 ※試用期間は3ヶ月…,300万円～450万円
株式会社マキバレ ,【本社または都内、神奈川県、埼玉県、千葉県の各プロジェクト先】 ※転居をともなう転勤はありません。…,"【大卒以上】 月給23万円以上＋賞与年2回 （固定残業代月20時間分／3万1,000円以上含む、超過分は別途支…",初年度年収のデータなし
株式会社アクティブ・ソリューション ,【リモートワークOK！】 【マイカー通勤OK】 神奈川県横浜市鶴見区下末吉4−10−1ウッドハイム…,月給28万円〜35万円＋賞与年2回 ※経験やスキルを考慮の上、優遇いたします。 ※上記には固定残業代30時…,370万円～470万円
株式会社静勝 ,転勤なし！現場は基本直行直帰です！ 東京営業所／東京都港区芝4-7-6 尾家ビル5階 横浜営業所／…,＼前職給与を保証します！／ 月給25万円〜 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間3ヶ…,350万円～700万円
株式会社シード・プランニング ,【転勤なし・交通費全額支給】★「湯島駅」徒歩3分／「御茶ノ水駅」徒歩10分 ■東京都文京区湯島3-…,"■月給22万9,000円〜 ※経験・スキルを考慮し、決定いたします ※試用期間3ヵ月あり（期間中の待遇に変更…",初年度年収のデータなし
株式会社サイショウビ ,リモートワークも一部可能◎ 代官山、恵比寿が最寄りのオシャレなオフィスでの勤務となります。 ※転勤…,月給35万円〜50万円 ＋ 賞与年3回 ＋ 各種手当 ※経験・スキルを考慮の上、決定します。 ※上記金額には…,420万円～1000万円
株式会社第一コンピュータサービス ,東京・神奈川・名古屋・大阪・仙台、いずれかでの勤務となります。 ★転居を伴うような転勤は一切ありま…,【東京・神奈川】 月給23万円〜40万円 【愛知・大阪】 月給21.5万円〜35万円 【宮城】 月給21万円〜35…,350万円～550万円
株式会社ユニット ,【転勤なし！「恵比寿」「広尾」が最寄り駅です。】 《勤務地》 東京都渋谷区広尾1-10-5　テック…,月給23万円以上 ※上記は最低保証額です。経験・年齢・スキルなどを考慮の上、決定いたします。 ※毎月…,300万円～400万円
