企業名,勤務地,給与,初年度年収
アスタミューゼ株式会社 ,4駅使える好立地！駅からも近い綺麗なオフィスです！ ▼所在地 東京都千代田区神田小川町3丁目9番2…,年俸制450万円〜 ※前職、経験、能力を最大限考慮し、支給額を決定致します。 ※見込み残業代、20時間分5…,450万円～650万円
株式会社エスユーエス ,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回） ※経験や能力、前職給与などを十分に考慮いたします。 ※…,400万円～1000万円
株式会社テクノプロ・コンストラクション ,★北関東支店（埼玉県）横浜支店（神奈川県）など関東圏で積極募集中！ ※管轄エリアにてほぼ100％配…,月給40万円以上（一律諸手当含む） ★平均月収50万円 ※経験・年齢・スキル等を考慮の上決定します。 ※…,600万円～1106万円
税理士法人総合経営サービス ,【本店】 東京都北区王子2-12-10 総経ビル ＜交通アクセス＞ 東京メトロ南北線「王子駅」より…,月給：23万円〜45万円 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固定残業代42…,初年度年収のデータなし
Y&I Group株式会社 ,東京本社（永田町）もしくは都内近郊のプロジェクト先 ※転居をともなう転勤なし ※U・Iターン歓迎…,月給24万円以上＋諸手当＋賞与有　★前職給与UP保障！ ※経験・スキルなどを考慮した上、決定します。 …,300万円～1000万円
ラーニンギフト株式会社 ,★転勤なし ★勤務地はご希望を考慮 東京都、神奈川県、千葉県、埼玉県、 大阪府、兵庫県、京都府、…,【経験1年未満の方】 月給23万円〜35万円 ※IT業界にて何らかの実務経験1ヶ月以上の方 ※何らかの言語で…,400万円～800万円
Suprieve株式会社 ,【転居を伴う転勤なし】 ◆大阪本社／大阪市北区梅田1丁目12-12　東京建物梅田ビル11F ※JR…,◆月給：20万円〜26万円＋諸手当 ※経験・能力・年齢を考慮し決定します ※ポジションによって金額が異…,250万円～500万円
株式会社アウトソーシングテクノロジー ,≪希望のエリアで働けます≫ ◇関東エリア／東京、神奈川、埼玉、千葉、山梨、群馬 ◇東海エリア／愛知…,◆関東エリア：月給18.5万円〜30万円＋一律手当＋賞与 ◇東海エリア：月給18万円〜30万円＋一律手当＋賞…,280万円～500万円
TMES株式会社 ,《★在宅勤務・テレワークあり（週1回）★》 転勤なし 【東京本社】 ▼住所 東京都港区芝浦4-13…,◆月給25万円〜36万円＋賞与2回＋残業手当（発生した分は全額支給） ※あなたのご経験・スキル・ご年齢…,370万円～600万円
アイコムシステック株式会社 ,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上 ※前職給与保証 ※さらに年齢、経験などを考慮します ※賞与前年実績5.2ヵ月分 ※試…,400万円～1000万円
ジャパニアス株式会社 ,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、決定…,400万円～800万円
株式会社デジタルビジョン ,【会社都合の一方的な転勤なし／希望の勤務エリア確約♪】 ●引っ越し費用補助あり ●UIターン歓迎…,月給24万円以上＋手当(残業手当/交通費全額/家族手当等)＋賞与年2回 ★前職の給与保証！！★ 先輩たちは…,450万円～800万円
株式会社YAZ ,【WEB面接OK！／ほとんどの社員がリモート勤務！】 ◆渋谷本社・札幌支社・名古屋支社で募集！ ▼…,月給28万円以上 ＋ 各種手当 ＋ 賞与年2回 ※前職の月給以上を保証。 ※経験やスキルを考慮した上で決定…,400万円～850万円
ジャパニアス株式会社 ,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、決定…,400万円～800万円
ジャパニアス株式会社 ,品川開発センターまたは各プロジェクト先 ＊転居を伴う転勤なし ＊U／Iターン歓迎 【品川開発センタ…,月給:32万円〜60万円＋各種手当（残業代100％支給など）＋賞与年2回 ※経験・年齢・能力を考慮のうえ、…,500万円～900万円
アイコムシステック株式会社 ,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上 ※前職給与保証 ※さらに年齢、経験などを考慮します ※賞与前年実績5.2ヵ月分 ※試…,400万円～1000万円
株式会社システナ ,《転勤なし／東京・横浜・名古屋・大阪にて勤務》 【東京本社】 東京都港区海岸1丁目2番20号 汐留…,【経験者】 年俸450万円〜+業績賞与年1回 【未経験者】 年俸300万円〜+業績賞与年1回 ※年齢、経験、…,300万円～700万円
ザ・サン・ストラテジック・ソリューションズ株式会社 ,☆転勤なし ＜交通アクセス＞ 各線「九段下駅」出口7より徒歩1分 ・東京都千代田区九段北1-12-…,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。,300万円～600万円
株式会社ウエスタンカンパニー ,【テレワーク実施中です】◎転勤なし◎マイカー通勤可 ＜ 本社 ＞ 愛知県岩倉市八剱町郷東5番地 ……,月給25万円〜40万円 ※前職の給与／スキルを考慮し、ご相談の上決定いたします。 《 給与例 》 月収35万…,350万円～550万円
ネット株式会社 ,大阪府和泉市テクノステージ二丁目3番地3 ＜交通アクセス＞ 泉北高速鉄道「和泉中央駅」より南海バス…,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上、32時間相…,330万円～550万円
イマジン・グローバル・ケア株式会社 ,【ヒロ薬局 岩槻店】埼玉県さいたま市岩槻区本町2‐11‐19※岩槻駅より徒歩8分,月給25万円＋諸手当(交通費全額支給・時間外手当など) ※試用期間3ヶ月間／月給23万円,300万円～350万円
株式会社鹿児島銀行 ,《IUターン歓迎》 希望を考慮し、鹿児島、宮崎のいずれかへ配属。 ■本店/鹿児島県鹿児島市金生町6…,"月給20万5,000円〜 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇し…",400万円～700万円
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
イマジン・グローバル・ケア株式会社 ,【本社】 東京都港区六本木3-16-12 六本木KSビル8F ★転勤はありません！ ≪アクセス≫…,"月給35万円~40万円 　※経験・能力を考慮し決定 　※固定残業代40時間分(74,405円~93,007円)含む 　※超…",初年度年収のデータなし
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
株式会社エデュプレス ,＊--アクセス◎「岩本町駅」より徒歩3分--＊ 【東京営業所】 東京都千代田区岩本町2-4-10,月給:25万円〜30万円＋諸手当（時間外100％支給など）＋ 賞与年2回（昨年度実績4ヵ月） ※経験・年齢・…,300万円～400万円
ネット株式会社 ,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上 ※経験・年齢・能力を考慮のうえ、決定致します。 ※固定残業代（5万円以上／32時間相…,初年度年収のデータなし
株式会社シードソリューションズ ,【転勤なし・交通費全額支給】★「湯島駅」徒歩3分、「御茶ノ水駅」徒歩10分 ■東京都文京区湯島3-…,"■月給22万9,000円〜 ※経験・スキルを考慮し、決定いたします ※試用期間3ヵ月あり（期間中の待遇に変更…",初年度年収のデータなし
株式会社グローブスタッフ ,【転勤なし】 五反田本社または首都圏(東京/埼玉/千葉/神奈川)の プロジェクト先で活躍！ ★本社…,"月給225,000円〜500,000円 ＋ 各種手当 ★過去には年収600万円以上で入社を決めたSEも！ ★これまでの経…",270万円～600万円
株式会社カナジュウ・コーポレーション ,【★転勤なし／マイカー通勤可】 横浜市瀬谷区橋戸1-22-12,"◆月給19万4,900円〜40万円 ＋ 時間外手当全額支給 ＋ 資格手当 ※上記はあくまでも最低保証される支給…",320万円～450万円
